map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 72318 (88, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3267.623291, up = 3285.093262, down = 10000000000.000000
  Cell 72629 (89, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 3260.328125, up = 3267.623291, down = 10000000000.000000

Cycle 81: curT = 3455.612549, curPe = 4, nc = 868, nwv = 76
  Cell 71695 (85, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3358.823486, up = 10000000000.000000, down = 10000000000.000000
  Cell 72006 (86, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3330.295410, up = 3358.823486, down = 10000000000.000000
  Cell 72317 (87, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3310.690186, up = 3330.295410, down = 10000000000.000000
  Cell 72628 (88, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 3299.154785, up = 3310.690186, down = 10000000000.000000

added heuristic 3575.405273)
updateCellAstar: Cell 69544 (104, 224): left = 10000000000.000000, right = 2298.418213, up = 2336.206787, down = 10000000000.000000
  -> Updated cell 69544 (104, 224): new pot = 2347.101074 (with added heuristic 3331.986816)
updateCellAstar: Cell 69855 (105, 225): left = 10000000000.000000, right = 2286.314941, up = 2298.418213, down = 10000000000.000000
  -> Updated cell 69855 (105, 225): new pot = 2327.263916 (with added heuristic 3339.686768)
updateCellAstar: Cell 70166 (106, 226): left = 10000000000.000000, right = 10000000000.000000, up = 2286.314941, down = 10000000000.000000
  -> Updated cell 70166 (106, 226): new pot = 2526.314941 (with added heuristic 3570.345703)
updateCellAstar: Cell 69232 (102, 223): left = 10000000000.000000, right = 2386.206787, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69232 (102, 223): new pot = 2436.206787 (with added heuristic 3354.084717)
updateCellAstar: Cell 68923 (103, 222): left = 10000000000.000000, right = 2545.842285, up = 10000000000.000000, down = 2386.206787
  -> Updated cell 68923 (103, 222): new pot = 2595.842285 (with added heuristic 3581.996582)
updateCellAstar: Cell 69543 (103, 224): left = 10000000000.000000, right = 2347.101074, up = 2386.206787, down = 10000000000.000000
  -> Updated cell 69543 (103, 224): new pot = 2396.016846 (with added heuristic 3335.431641)
updateCellAstar: Cell 69854 (104, 225): left = 10000000000.000000, right = 2327.263916, up = 2347.101074, down = 10000000000.000000
  -> Updated cell 69854 (104, 225): new pot = 2371.180664 (with added heuristic 3336.841064)
updateCellAstar: Cell 70165 (105, 226): left = 10000000000.000000, right = 2526.314941, up = 2327.263916, down = 10000000000.000000
  -> Updated cell 70165 (105, 226): new pot = 2542.756592 (with added heuristic 3538.999512)
updateCellAstar: Cell 69231 (101, 223): left = 10000000000.000000, right = 2436.206787, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69231 (101, 223): new pot = 2486.206787 (with added heuristic 3360.849609)
updateCellAstar: Cell 68922 (102, 222): left = 10000000000.000000, right = 2595.842285, up = 10000000000.000000, down = 2436.206787
  -> Updated cell 68922 (102, 222): new pot = 2645.842285 (with added heuristic 3589.240479)
updateCellAstar: Cell 69542 (102, 224): left = 10000000000.000000, right = 2396.016846, up = 2436.206787, down = 10000000000.000000
  -> Updated cell 69542 (102, 224): new pot = 2445.112305 (with added heuristic 3339.539551)
updateCellAstar: Cell 69853 (103, 225): left = 10000000000.000000, right = 2371.180664, up = 2396.016846, down = 10000000000.000000
  -> Updated cell 69853 (103, 225): new pot = 2416.722656 (with added heuristic 3335.961426)
updateCellAstar: Cell 70164 (104, 226): left = 10000000000.000000, right = 2542.756592, up = 2371.180664, down = 10000000000.000000
  -> Updated cell 70164 (104, 226): new pot = 2421.180664 (with added heuristic 3369.864014)
updateCellAstar: Cell 69852 (102, 225): left = 10000000000.000000, right = 2416.722656, up = 2445.112305, down = 10000000000.000000
  -> Updated cell 69852 (102, 225): new pot = 2463.280029 (with added heuristic 3336.492432)
updateCellAstar: Cell 70163 (103, 226): left = 10000000000.000000, right = 2421.180664, up = 2416.722656, down = 10000000000.000000
  -> Updated cell 70163 (103, 226): new pot = 2454.197021 (with added heuristic 3355.584961)
updateCellAstar: Cell 69851 (101, 225): left = 10000000000.000000, right = 2463.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69851 (101, 225): new pot = 2513.280029 (with added heuristic 3340.927246)
updateCellAstar: Cell 70162 (102, 226): left = 10000000000.000000, right = 2454.197021, up = 2463.280029, down = 10000000000.000000
  -> Updated cell 70162 (102, 226): new pot = 2493.837646 (with added heuristic 3348.238037)
updateCellAstar: Cell 70473 (103, 227): left = 10000000000.000000, right = 10000000000.000000, up = 2454.197021, down = 10000000000.000000
  -> Updated cell 70473 (103, 227): new pot = 2504.197021 (with added heuristic 3390.199219)
updateCellAstar: Cell 69850 (100, 225): left = 10000000000.000000, right = 2513.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69850 (100, 225): new pot = 2563.280029 (with added heuristic 3345.903809)
updateCellAstar: Cell 70161 (101, 226): left = 10000000000.000000, right = 2493.837646, up = 2513.280029, down = 10000000000.000000
  -> Updated cell 70161 (101, 226): new pot = 2537.616211 (with added heuristic 3345.390869)
updateCellAstar: Cell 70472 (102, 227): left = 10000000000.000000, right = 2504.197021, up = 2493.837646, down = 10000000000.000000
  -> Updated cell 70472 (102, 227): new pot = 2534.041504 (with added heuristic 3372.194336)
updateCellAstar: Cell 69849 (99, 225): left = 10000000000.000000, right = 2563.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69849 (99, 225): new pot = 2613.280029 (with added heuristic 3351.521240)
updateCellAstar: Cell 69540 (100, 224): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 2563.280029
  -> Updated cell 69540 (100, 224): new pot = 2613.280029 (with added heuristic 3419.505859)
updateCellAstar: Cell 70160 (100, 226): left = 10000000000.000000, right = 2537.616211, up = 2563.280029, down = 10000000000.000000
  -> Updated cell 70160 (100, 226): new pot = 2583.405029 (with added heuristic 3344.982422)
updateCellAstar: Cell 70471 (101, 227): left = 10000000000.000000, right = 2534.041504, up = 2537.616211, down = 10000000000.000000
  -> Updated cell 70471 (101, 227): new pot = 2571.079834 (with added heuristic 3361.649170)
updateCellAstar: Cell 69848 (98, 225): left = 10000000000.000000, right = 2613.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69848 (98, 225): new pot = 2663.280029 (with added heuristic 3357.902344)
updateCellAstar: Cell 69539 (99, 224): left = 10000000000.000000, right = 2613.280029, up = 10000000000.000000, down = 2613.280029
  -> Updated cell 69539 (99, 224): new pot = 2648.479980 (with added heuristic 3411.696777)
updateCellAstar: Cell 70159 (99, 226): left = 10000000000.000000, right = 2583.405029, up = 2613.280029, down = 10000000000.000000
  -> Updated cell 70159 (99, 226): new pot = 2630.352295 (with added heuristic 3346.243408)
updateCellAstar: Cell 70470 (100, 227): left = 10000000000.000000, right = 2571.079834, up = 2583.405029, down = 10000000000.000000
  -> Updated cell 70470 (100, 227): new pot = 2612.121826 (with added heuristic 3355.425293)
updateCellAstar: Cell 70469 (99, 227): left = 10000000000.000000, right = 2612.121826, up = 2630.352295, down = 10000000000.000000
  -> Updated cell 70469 (99, 227): new pot = 2655.467285 (with added heuristic 3351.886719)
updateCellAstar: Cell 70780 (100, 228): left = 10000000000.000000, right = 10000000000.000000, up = 2612.121826, down = 10000000000.000000
  -> Updated cell 70780 (100, 228): new pot = 2662.121826 (with added heuristic 3390.132812)
updateCellAstar: Cell 70468 (98, 227): left = 10000000000.000000, right = 2655.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70468 (98, 227): new pot = 2705.467285 (with added heuristic 3355.467285)
updateCellAstar: Cell 70779 (99, 228): left = 10000000000.000000, right = 2662.121826, up = 2655.467285, down = 10000000000.000000
  -> Updated cell 70779 (99, 228): new pot = 2693.995117 (with added heuristic 3374.068604)
updateCellAstar: Cell 70467 (97, 227): left = 10000000000.000000, right = 2705.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70467 (97, 227): new pot = 2755.467285 (with added heuristic 3359.619629)
updateCellAstar: Cell 70778 (98, 228): left = 10000000000.000000, right = 2693.995117, up = 2705.467285, down = 10000000000.000000
  -> Updated cell 70778 (98, 228): new pot = 2734.677734 (with added heuristic 3367.133301)
updateCellAstar: Cell 72692 (152, 234): left = 150.000000, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 72692 (152, 234): new pot = 200.000000 (with added heuristic 3501.514893)
updateCellAstar: Cell 72381 (151, 233): left = 127.246338, right = 10000000000.000000, up = 10000000000.000000, down = 150.000000
  -> Updated cell 72381 (151, 233): new pot = 172.139114 (with added heuristic 3422.523682)
updateCellAstar: Cell 73001 (151, 235): left = 127.246338, right = 10000000000.000000, up = 150.000000, down = 10000000000.000000
  -> Updated cell 73001 (151, 235): new pot = 172.139114 (with added heuristic 3425.598877)
updateCellAstar: Cell 72071 (151, 232): left = 162.446335, right = 10000000000.000000, up = 10000000000.000000, down = 172.139114
  -> Updated cell 72071 (151, 232): new pot = 202.357941 (with added heuristic 3452.357910)
updateCellAstar: Cell 71760 (150, 231): left = 172.139114, right = 10000000000.000000, up = 10000000000.000000, down = 162.446335
  -> Updated cell 71760 (150, 231): new pot = 202.357941 (with added heuristic 3402.748535)
updateCellAstar: Cell 73311 (151, 236): left = 162.446335, right = 10000000000.000000, up = 172.139114, down = 10000000000.000000
  -> Updated cell 73311 (151, 236): new pot = 202.357941 (with added heuristic 3458.505859)
updateCellAstar: Cell 73620 (150, 237): left = 172.139114, right = 10000000000.000000, up = 162.446335, down = 10000000000.000000
  -> Updated cell 73620 (150, 237): new pot = 202.357941 (with added heuristic 3412.108643)
updateCellAstar: Cell 71450 (150, 230): left = 218.552673, right = 10000000000.000000, up = 10000000000.000000, down = 202.357941
  -> Updated cell 71450 (150, 230): new pot = 244.945526 (with added heuristic 3446.507568)
updateCellAstar: Cell 71139 (149, 229): left = 250.000000, right = 10000000000.000000, up = 10000000000.000000, down = 218.552673
  -> Updated cell 71139 (149, 229): new pot = 265.890686 (with added heuristic 3419.459961)
updateCellAstar: Cell 73930 (150, 238): left = 218.552673, right = 10000000000.000000, up = 202.357941, down = 10000000000.000000
  -> Updated cell 73930 (150, 238): new pot = 244.945526 (with added heuristic 3458.977295)
updateCellAstar: Cell 74239 (149, 239): left = 250.000000, right = 10000000000.000000, up = 218.552673, down = 10000000000.000000
  -> Updated cell 74239 (149, 239): new pot = 265.890686 (with added heuristic 3435.275391)
updateCellAstar: Cell 74548 (148, 240): left = 315.890686, right = 10000000000.000000, up = 250.000000, down = 10000000000.000000
  -> Updated cell 74548 (148, 240): new pot = 300.000000 (with added heuristic 3425.699951)
updateCellAstar: Cell 70829 (149, 228): left = 300.000000, right = 10000000000.000000, up = 10000000000.000000, down = 265.890686
  -> Updated cell 70829 (149, 228): new pot = 313.838318 (with added heuristic 3470.181152)
updateCellAstar: Cell 70518 (148, 227): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 300.000000
  -> Updated cell 70518 (148, 227): new pot = 350.000000 (with added heuristic 3460.064209)
updateCellAstar: Cell 70517 (147, 227): left = 384.711304, right = 350.000000, up = 10000000000.000000, down = 313.838318
  -> Updated cell 70517 (147, 227): new pot = 362.211426 (with added heuristic 3422.440186)
updateCellAstar: Cell 74857 (147, 241): left = 10000000000.000000, right = 10000000000.000000, up = 315.890686, down = 10000000000.000000
  -> Updated cell 74857 (147, 241): new pot = 365.890686 (with added heuristic 3448.908691)
updateCellAstar: Cell 74856 (146, 241): left = 410.803497, right = 365.890686, up = 335.316498, down = 10000000000.000000
  -> Updated cell 74856 (146, 241): new pot = 382.440369 (with added heuristic 3416.002686)
updateCellAstar: Cell 70206 (146, 226): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 384.711304
  -> Updated cell 70206 (146, 226): new pot = 434.711304 (with added heuristic 3449.673828)
updateCellAstar: Cell 70205 (145, 226): left = 482.614594, right = 434.711304, up = 10000000000.000000, down = 405.905884
  -> Updated cell 70205 (145, 226): new pot = 452.574402 (with added heuristic 3417.789551)
updateCellAstar: Cell 75165 (145, 242): left = 10000000000.000000, right = 10000000000.000000, up = 410.803497, down = 10000000000.000000
  -> Updated cell 75165 (145, 242): new pot = 460.803497 (with added heuristic 3452.876221)
updateCellAstar: Cell 75164 (144, 242): left = 513.636353, right = 460.803497, up = 434.460205, down = 10000000000.000000
  -> Updated cell 75164 (144, 242): new pot = 480.446960 (with added heuristic 3423.234863)
updateCellAstar: Cell 69894 (144, 225): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 482.614594
  -> Updated cell 69894 (144, 225): new pot = 532.614624 (with added heuristic 3453.659180)
updateCellAstar: Cell 69893 (143, 225): left = 586.181152, right = 532.614624, up = 10000000000.000000, down = 506.715912
  -> Updated cell 69893 (143, 225): new pot = 552.573608 (with added heuristic 3423.984375)
updateCellAstar: Cell 75473 (143, 243): left = 10000000000.000000, right = 10000000000.000000, up = 513.636353, down = 10000000000.000000
  -> Updated cell 75473 (143, 243): new pot = 563.636353 (with added heuristic 3466.221191)
updateCellAstar: Cell 75472 (142, 243): left = 10000000000.000000, right = 563.636353, up = 539.191589, down = 10000000000.000000
  -> Updated cell 75472 (142, 243): new pot = 584.614502 (with added heuristic 3438.121094)
updateCellAstar: Cell 75471 (141, 243): left = 654.480530, right = 584.614502, up = 570.273376, down = 10000000000.000000
  -> Updated cell 75471 (141, 243): new pot = 612.137695 (with added heuristic 3416.598389)
updateCellAstar: Cell 69582 (142, 224): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 586.181152
  -> Updated cell 69582 (142, 224): new pot = 636.181152 (with added heuristic 3464.608398)
updateCellAstar: Cell 69581 (141, 224): left = 10000000000.000000, right = 636.181152, up = 10000000000.000000, down = 611.798401
  -> Updated cell 69581 (141, 224): new pot = 657.202332 (with added heuristic 3436.141113)
